Training config: {'data_path': 'processed_data/processed.pt', 'hidden_dim': 256, 'dropout': 0.4, 'lr': 0.0005, 'batch_size': 128, 'num_epochs': 200, 'patience': 10, 'seed': 42, 'model_save_path': 'saved_models'}
Epoch 1/200 | Train Loss: 0.5921 | Val Acc: 0.7414 | Prec: 0.6975 | Rec: 0.8593 | F1: 0.7700 | AUC: 0.8263 | LR: 5.00e-04
Epoch 2/200 | Train Loss: 0.5210 | Val Acc: 0.7471 | Prec: 0.7040 | Rec: 0.8593 | F1: 0.7740 | AUC: 0.8419 | LR: 5.00e-04
Epoch 3/200 | Train Loss: 0.4781 | Val Acc: 0.8161 | Prec: 0.8175 | Rec: 0.8175 | F1: 0.8175 | AUC: 0.8463 | LR: 5.00e-04
Epoch 4/200 | Train Loss: 0.4453 | Val Acc: 0.8142 | Prec: 0.7923 | Rec: 0.8555 | F1: 0.8227 | AUC: 0.8474 | LR: 5.00e-04
Epoch 5/200 | Train Loss: 0.4326 | Val Acc: 0.8142 | Prec: 0.8051 | Rec: 0.8327 | F1: 0.8187 | AUC: 0.8605 | LR: 5.00e-04
Epoch 6/200 | Train Loss: 0.4312 | Val Acc: 0.8046 | Prec: 0.7766 | Rec: 0.8593 | F1: 0.8159 | AUC: 0.8559 | LR: 5.00e-04
Epoch 7/200 | Train Loss: 0.4612 | Val Acc: 0.8199 | Prec: 0.8095 | Rec: 0.8403 | F1: 0.8246 | AUC: 0.8615 | LR: 5.00e-04
Epoch 8/200 | Train Loss: 0.4136 | Val Acc: 0.8218 | Prec: 0.8125 | Rec: 0.8403 | F1: 0.8262 | AUC: 0.8711 | LR: 5.00e-04
Epoch 9/200 | Train Loss: 0.4021 | Val Acc: 0.8295 | Prec: 0.8372 | Rec: 0.8213 | F1: 0.8292 | AUC: 0.8736 | LR: 5.00e-04
Epoch 10/200 | Train Loss: 0.3980 | Val Acc: 0.8257 | Prec: 0.8707 | Rec: 0.7681 | F1: 0.8162 | AUC: 0.8775 | LR: 5.00e-04
Epoch 11/200 | Train Loss: 0.4015 | Val Acc: 0.8333 | Prec: 0.8929 | Rec: 0.7605 | F1: 0.8214 | AUC: 0.8821 | LR: 5.00e-04
Epoch 12/200 | Train Loss: 0.3940 | Val Acc: 0.8372 | Prec: 0.8836 | Rec: 0.7795 | F1: 0.8283 | AUC: 0.8893 | LR: 5.00e-04
Epoch 13/200 | Train Loss: 0.3856 | Val Acc: 0.8314 | Prec: 0.8253 | Rec: 0.8441 | F1: 0.8346 | AUC: 0.8890 | LR: 5.00e-04
Epoch 14/200 | Train Loss: 0.3789 | Val Acc: 0.8314 | Prec: 0.8182 | Rec: 0.8555 | F1: 0.8364 | AUC: 0.8820 | LR: 5.00e-04
Epoch 15/200 | Train Loss: 0.3863 | Val Acc: 0.8391 | Prec: 0.8456 | Rec: 0.8327 | F1: 0.8391 | AUC: 0.8973 | LR: 5.00e-04
